Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jayson Tatum (22889692),Jayson Tatum,22889692,CPT,15900,BOS@GSW 06/02/2022 09:00PM ET,BOS,47.50
PG,Stephen Curry (22889693),Stephen Curry,22889693,CPT,15300,BOS@GSW 06/02/2022 09:00PM ET,GSW,45.71
SG/SF,Jaylen Brown (22889694),Jaylen Brown,22889694,CPT,13800,BOS@GSW 06/02/2022 09:00PM ET,BOS,39.54
PG,Marcus Smart (22889695),Marcus Smart,22889695,CPT,12300,BOS@GSW 06/02/2022 09:00PM ET,BOS,30.09
SG/SF,Klay Thompson (22889696),Klay Thompson,22889696,CPT,11700,BOS@GSW 06/02/2022 09:00PM ET,GSW,32.81
PF/C,Al Horford (22889697),Al Horford,22889697,CPT,11400,BOS@GSW 06/02/2022 09:00PM ET,BOS,30.47
C,Kevon Looney (22889698),Kevon Looney,22889698,CPT,11100,BOS@GSW 06/02/2022 09:00PM ET,GSW,20.19
SF/PF,Andrew Wiggins (22889699),Andrew Wiggins,22889699,CPT,10800,BOS@GSW 06/02/2022 09:00PM ET,GSW,30.09
SF/PF,Jayson Tatum (22889737),Jayson Tatum,22889737,UTIL,10600,BOS@GSW 06/02/2022 09:00PM ET,BOS,47.50
PG,Stephen Curry (22889738),Stephen Curry,22889738,UTIL,10200,BOS@GSW 06/02/2022 09:00PM ET,GSW,45.71
PF/C,Draymond Green (22889700),Draymond Green,22889700,CPT,10200,BOS@GSW 06/02/2022 09:00PM ET,GSW,30.56
PG/SG,Jordan Poole (22889701),Jordan Poole,22889701,CPT,9600,BOS@GSW 06/02/2022 09:00PM ET,GSW,31.22
C,Robert Williams (22889702),Robert Williams,22889702,CPT,9300,BOS@GSW 06/02/2022 09:00PM ET,BOS,29.70
SG/SF,Jaylen Brown (22889739),Jaylen Brown,22889739,UTIL,9200,BOS@GSW 06/02/2022 09:00PM ET,BOS,39.54
PG,Marcus Smart (22889740),Marcus Smart,22889740,UTIL,8200,BOS@GSW 06/02/2022 09:00PM ET,BOS,30.09
PG/SG,Derrick White (22889703),Derrick White,22889703,CPT,8100,BOS@GSW 06/02/2022 09:00PM ET,BOS,26.63
SG/SF,Klay Thompson (22889741),Klay Thompson,22889741,UTIL,7800,BOS@GSW 06/02/2022 09:00PM ET,GSW,32.81
PF/C,Al Horford (22889742),Al Horford,22889742,UTIL,7600,BOS@GSW 06/02/2022 09:00PM ET,BOS,30.47
C,Kevon Looney (22889743),Kevon Looney,22889743,UTIL,7400,BOS@GSW 06/02/2022 09:00PM ET,GSW,20.19
SF/PF,Andrew Wiggins (22889744),Andrew Wiggins,22889744,UTIL,7200,BOS@GSW 06/02/2022 09:00PM ET,GSW,30.09
SF/PF,Grant Williams (22889704),Grant Williams,22889704,CPT,7200,BOS@GSW 06/02/2022 09:00PM ET,BOS,17.08
PF/C,Draymond Green (22889745),Draymond Green,22889745,UTIL,6800,BOS@GSW 06/02/2022 09:00PM ET,GSW,30.56
PG/SG,Jordan Poole (22889746),Jordan Poole,22889746,UTIL,6400,BOS@GSW 06/02/2022 09:00PM ET,GSW,31.22
C,Robert Williams (22889747),Robert Williams,22889747,UTIL,6200,BOS@GSW 06/02/2022 09:00PM ET,BOS,29.70
SF/PF,Otto Porter Jr. (22889705),Otto Porter Jr.,22889705,CPT,6000,BOS@GSW 06/02/2022 09:00PM ET,GSW,20.30
PG/SG,Derrick White (22889748),Derrick White,22889748,UTIL,5400,BOS@GSW 06/02/2022 09:00PM ET,BOS,26.63
PG,Payton Pritchard (22889706),Payton Pritchard,22889706,CPT,5100,BOS@GSW 06/02/2022 09:00PM ET,BOS,12.58
SF/PF,Grant Williams (22889749),Grant Williams,22889749,UTIL,4800,BOS@GSW 06/02/2022 09:00PM ET,BOS,17.08
PF,Jonathan Kuminga (22889707),Jonathan Kuminga,22889707,CPT,4200,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.5
SF/PF,Otto Porter Jr. (22889750),Otto Porter Jr.,22889750,UTIL,4000,BOS@GSW 06/02/2022 09:00PM ET,GSW,20.30
PF/C,Daniel Theis (22889708),Daniel Theis,22889708,CPT,3600,BOS@GSW 06/02/2022 09:00PM ET,BOS,16.17
PG,Payton Pritchard (22889751),Payton Pritchard,22889751,UTIL,3400,BOS@GSW 06/02/2022 09:00PM ET,BOS,12.58
SG/SF,Moses Moody (22889709),Moses Moody,22889709,CPT,3000,BOS@GSW 06/02/2022 09:00PM ET,GSW,7.82
PF,Jonathan Kuminga (22889752),Jonathan Kuminga,22889752,UTIL,2800,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.5
PF/C,Daniel Theis (22889753),Daniel Theis,22889753,UTIL,2400,BOS@GSW 06/02/2022 09:00PM ET,BOS,16.17
SG,Gary Payton II (22889710),Gary Payton II,22889710,CPT,2400,BOS@GSW 06/02/2022 09:00PM ET,GSW,16.04
C,Nemanja Bjelica (22889711),Nemanja Bjelica,22889711,CPT,2100,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.48
SG/SF,Moses Moody (22889754),Moses Moody,22889754,UTIL,2000,BOS@GSW 06/02/2022 09:00PM ET,GSW,7.82
PG,Chris Chiozza (22889712),Chris Chiozza,22889712,CPT,1800,BOS@GSW 06/02/2022 09:00PM ET,GSW,6.71
SG,Gary Payton II (22889755),Gary Payton II,22889755,UTIL,1600,BOS@GSW 06/02/2022 09:00PM ET,GSW,16.04
PG,Brodric Thomas (22889713),Brodric Thomas,22889713,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.33
SG/SF,LJ Figueroa (22889714),LJ Figueroa,22889714,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,James Wiseman (22889715),James Wiseman,22889715,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SF,C.J. Miles (22889716),C.J. Miles,22889716,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SG,Juhann Begarin (22889717),Juhann Begarin,22889717,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
PF,Alen Smailagic (22889718),Alen Smailagic,22889718,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
PG,Damion Lee (22889719),Damion Lee,22889719,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,13.25
SG/SF,Aaron Nesmith (22889720),Aaron Nesmith,22889720,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,6.78
SG/SF,Andre Iguodala (22889721),Andre Iguodala,22889721,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.83
PF,Juwan Morgan (22889722),Juwan Morgan,22889722,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.21
SF/PF,Sam Hauser (22889723),Sam Hauser,22889723,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.79
PF,Jabari Parker (22889724),Jabari Parker,22889724,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,8.92
SF,Kelan Martin (22889725),Kelan Martin,22889725,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,10.64
SF,Matt Ryan (22889726),Matt Ryan,22889726,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,5.5
PG,Quinndary Weatherspoon (22889727),Quinndary Weatherspoon,22889727,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,5.27
SF,Joe Johnson (22889728),Joe Johnson,22889728,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,2
PG,Nico Mannion (22889729),Nico Mannion,22889729,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SG,Nik Stauskas (22889730),Nik Stauskas,22889730,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.69
C,Luke Kornet (22889731),Luke Kornet,22889731,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.64
SF,Malik Fitts (22889732),Malik Fitts,22889732,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.82
PF,Al-Farouq Aminu (22889733),Al-Farouq Aminu,22889733,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SF,Justin Jackson (22889734),Justin Jackson,22889734,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,BOS,3.96
SF,Axel Toupane (22889735),Axel Toupane,22889735,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,Juan Toscano-Anderson (22889736),Juan Toscano-Anderson,22889736,CPT,1500,BOS@GSW 06/02/2022 09:00PM ET,GSW,10.25
C,Nemanja Bjelica (22889756),Nemanja Bjelica,22889756,UTIL,1400,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.48
PG,Chris Chiozza (22889757),Chris Chiozza,22889757,UTIL,1200,BOS@GSW 06/02/2022 09:00PM ET,GSW,6.71
PG,Brodric Thomas (22889758),Brodric Thomas,22889758,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.33
SG/SF,LJ Figueroa (22889759),LJ Figueroa,22889759,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,James Wiseman (22889760),James Wiseman,22889760,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SF,C.J. Miles (22889761),C.J. Miles,22889761,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SG,Juhann Begarin (22889762),Juhann Begarin,22889762,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
PF,Alen Smailagic (22889763),Alen Smailagic,22889763,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
PG,Damion Lee (22889764),Damion Lee,22889764,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,13.25
SG/SF,Aaron Nesmith (22889765),Aaron Nesmith,22889765,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,6.78
SG/SF,Andre Iguodala (22889766),Andre Iguodala,22889766,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,15.83
PF,Juwan Morgan (22889767),Juwan Morgan,22889767,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.21
SF/PF,Sam Hauser (22889768),Sam Hauser,22889768,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.79
PF,Jabari Parker (22889769),Jabari Parker,22889769,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,8.92
SF,Kelan Martin (22889770),Kelan Martin,22889770,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,10.64
SF,Matt Ryan (22889771),Matt Ryan,22889771,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,5.5
PG,Quinndary Weatherspoon (22889772),Quinndary Weatherspoon,22889772,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,5.27
SF,Joe Johnson (22889773),Joe Johnson,22889773,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2
PG,Nico Mannion (22889774),Nico Mannion,22889774,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
SG,Nik Stauskas (22889775),Nik Stauskas,22889775,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.69
C,Luke Kornet (22889776),Luke Kornet,22889776,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,4.64
SF,Malik Fitts (22889777),Malik Fitts,22889777,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,2.82
PF,Al-Farouq Aminu (22889778),Al-Farouq Aminu,22889778,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,0
SF,Justin Jackson (22889779),Justin Jackson,22889779,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,BOS,3.96
SF,Axel Toupane (22889780),Axel Toupane,22889780,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,0
C,Juan Toscano-Anderson (22889781),Juan Toscano-Anderson,22889781,UTIL,1000,BOS@GSW 06/02/2022 09:00PM ET,GSW,10.25
